,game_id,round,p1,p2,winner,model_choice,model0,model1,model2,model3,model4,model5,timestamp,ip_address
261,13,0,0,2,1,0,2,0,0,0,0,0,2020-12-16 02:29:37.000000,10.7.242.21
262,13,1,2,2,0,0,2,0,1,1,0,0,2020-12-16 02:29:39.142275,10.79.236.200
263,13,2,0,2,1,1,1,2,0,1,0,0,2020-12-16 02:29:40.626020,10.7.242.21
264,13,3,1,2,2,0,2,2,1,0,0,0,2020-12-16 02:29:41.959618,10.79.236.200
265,13,4,0,0,0,0,0,0,1,2,0,0,2020-12-16 02:29:43.586939,10.7.242.21
266,13,5,1,2,2,4,2,2,1,2,2,2,2020-12-16 02:29:45.883768,10.79.236.200
267,13,6,0,2,1,4,0,0,1,0,2,1,2020-12-16 02:29:47.283926,10.7.242.21
268,13,7,2,0,2,5,2,0,1,0,1,0,2020-12-16 02:30:02.047980,10.79.236.200
269,13,8,0,0,0,5,1,2,1,2,2,0,2020-12-16 02:30:04.269586,10.7.242.21
270,13,9,1,2,2,5,2,0,1,2,1,2,2020-12-16 02:30:06.577109,10.79.236.200
271,13,10,0,1,2,5,0,0,1,0,0,1,2020-12-16 02:30:08.605934,10.7.242.21
272,13,11,2,0,2,5,2,2,1,0,1,0,2020-12-16 02:30:10.744442,10.79.236.200
273,13,12,2,0,2,5,1,2,1,2,1,0,2020-12-16 02:30:12.702263,10.7.242.21
274,13,13,2,2,0,5,1,2,1,2,1,2,2020-12-16 02:30:17.895898,10.79.236.200
275,13,14,0,0,0,5,0,0,1,2,0,0,2020-12-16 02:30:23.129358,10.7.242.21
276,13,15,0,1,2,5,2,1,1,2,2,1,2020-12-16 02:30:27.002594,10.79.236.200
277,13,16,1,1,0,5,2,1,1,2,0,1,2020-12-16 02:30:29.657292,10.7.242.21
278,13,17,2,2,0,5,0,0,1,2,2,2,2020-12-16 02:30:32.379039,10.79.236.200
279,13,18,2,2,0,5,1,1,1,2,1,2,2020-12-16 02:30:37.928364,10.7.242.21
280,13,19,1,0,1,5,1,1,1,2,0,0,2020-12-16 02:30:43.342622,10.79.236.200
281,13,20,0,2,1,5,0,0,1,2,0,2,2020-12-16 02:30:51.187535,10.7.242.21
282,13,21,1,2,2,5,2,0,1,2,2,2,2020-12-16 02:31:03.575005,10.79.236.200
283,13,22,2,0,2,5,0,1,1,2,2,0,2020-12-16 02:31:09.605911,10.7.242.21
284,13,23,2,2,0,5,1,1,1,2,1,2,2020-12-16 02:31:12.892358,10.79.236.200
285,14,0,2,1,1,0,1,0,0,0,0,0,2020-12-16 04:08:38.000000,10.41.198.134
286,14,1,1,1,0,0,1,0,0,0,0,0,2020-12-16 04:08:40.488629,10.41.198.134
287,14,2,2,0,2,0,0,1,0,2,0,0,2020-12-16 04:08:42.315489,10.41.198.134
288,14,3,2,1,1,0,1,1,0,2,0,0,2020-12-16 04:08:43.391563,10.41.198.134
289,14,4,0,0,0,2,1,0,0,2,0,0,2020-12-16 04:08:44.527978,10.41.198.134
